SDR ID,Site,CP ID,Connector Type,Consum(kWh),Duration,Start,End,Postcode
2000682,Michelin Scotland Innovation Park ,53982,ac,0.509,00:08:50,27/07/2021 00:05,27/07/2021 00:14,DD4 8UQ
2000723,"Queen Street Charging Hub, Dundee",APT51593,rapid,2.45,00:04:32,27/07/2021 02:05,27/07/2021 02:09,DD5 2HD
2000728,"Olympia Multi-Storey Car Park, Dundee",50676,ac,0.23,00:03:43,27/07/2021 02:24,27/07/2021 02:27,DD1 3JU
2001306,"Greenmarket Multi Storey Car Park, Dundee",APTCYCPIP-0039-13,ac,18.61,15:46:47,27/07/2021 04:39,28/07/2021 20:26,DD1 4BX
2001323,"Nethergate, Dundee",APT51086,ac,0.4,18:02:23,27/07/2021 06:00,28/07/2021 00:02,DD1 4HN
2001325,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,15.123,01:00:26,27/07/2021 05:10,27/07/2021 06:11,DD2 3BH
2001343,"Princes Street Charging Hub, Dundee",51424,rapid,5.73,00:20:45,27/07/2021 06:48,27/07/2021 07:09,DD4 6BY
2001449,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,11.26,00:14:12,27/07/2021 09:16,27/07/2021 09:30,DD2 3BH
2001656,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,2.83,00:33:36,27/07/2021 09:19,27/07/2021 09:53,DD2 3BH
2001778,"Princes Street Charging Hub, Dundee",APT51422,rapid,6.46,00:18:38,27/07/2021 09:42,27/07/2021 10:01,DD4 6BY
2001978,"Olympia Multi-Storey Car Park, Dundee",50677,ac,29.21,08:52:32,27/07/2021 08:57,27/07/2021 17:50,DD1 3JU
2001992,"Queen Street Charging Hub, Dundee",APT51591,rapid,6.52,00:37:25,27/07/2021 09:59,27/07/2021 10:37,DD5 2HD
2002000,South Tay Street (Car Club / Public),52567,ac,12.45,02:46:12,27/07/2021 10:01,27/07/2021 12:47,DD1 1PF
2002061,"Gellatly Street Car Park, Dundee",APT51088,ac,19.07,03:23:21,27/07/2021 10:03,27/07/2021 13:27,DD1 3DY
2002162,Michelin Scotland Innovation Park ,53982,ac,8.17,04:00:14,27/07/2021 10:11,27/07/2021 14:11,DD4 8UQ
2002197,"Queen Street Charging Hub, Dundee",51592,rapid,15.47,00:47:16,27/07/2021 10:18,27/07/2021 11:05,DD5 2HD
2002198,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,35.66,01:53:18,27/07/2021 10:18,27/07/2021 12:12,DD2 3BH
2002265,"Princes Street Charging Hub, Dundee",APT51425,rapid,9.29,00:38:06,27/07/2021 10:30,27/07/2021 11:08,DD4 6BY
2002269,"Queen Street Charging Hub, Dundee",APT51594,rapid,12.03,00:17:59,27/07/2021 09:30,27/07/2021 09:48,DD5 2HD
2002292,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,7.701,00:10:36,27/07/2021 09:36,27/07/2021 09:46,DD2 3BH
2002326,"Dundee Ice Arena, Dundee",50692,rapid,23.56,00:57:21,27/07/2021 09:39,27/07/2021 10:37,DD2 3QN
2002346,"Dawson Park, Broughty Ferry",52665,ac,19.54,03:09:05,27/07/2021 09:43,27/07/2021 12:52,DD5 1PG
2002353,"Queen Street Charging Hub, Dundee",APT51593,rapid,0.664,00:11:28,27/07/2021 09:46,27/07/2021 09:58,DD5 2HD
2002489,"Princes Street Charging Hub, Dundee",APT51423,rapid,8.662,00:12:00,27/07/2021 10:04,27/07/2021 10:16,DD4 6BY
2002688,"Dundee Taybridge Rail Station, South Union Street, Dundee",APT50348,ac,3.59,04:48:13,27/07/2021 11:47,27/07/2021 16:36,
2002702,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,9.555,00:26:10,27/07/2021 10:52,27/07/2021 11:18,DD2 3BH
2002765,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,3.88,00:34:56,27/07/2021 12:02,27/07/2021 12:37,DD2 3BH
2002773,"Queen Street Charging Hub, Dundee",51595,rapid,16.916,00:46:36,27/07/2021 11:04,27/07/2021 11:51,DD5 2HD
2002820,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,1.39,00:12:59,27/07/2021 13:12,27/07/2021 13:25,DD2 3BH
2002829,"Lochee Charging Hub, Aimer Square, Dundee",51548,rapid,9.18,,27/07/2021 12:13,27/07/2021 12:13,DD2 3BH
2002854,"Lochee Charging Hub, Aimer Square, Dundee",51586,ac,,,27/07/2021 11:20,27/07/2021 11:20,DD2 3BH
2002858,"Lochee Charging Hub, Aimer Square, Dundee",51586,ac,,,27/07/2021 11:20,27/07/2021 11:20,DD2 3BH
2002861,"Lochee Charging Hub, Aimer Square, Dundee",51586,ac,6.73,01:41:56,27/07/2021 12:20,27/07/2021 14:02,DD2 3BH
2002879,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,8.598,00:18:04,27/07/2021 11:20,27/07/2021 11:39,DD2 3BH
2002965,"Lochee Charging Hub, Aimer Square, Dundee",51550,rapid,22.94,00:44:00,27/07/2021 13:32,27/07/2021 14:16,DD2 3BH
2002997,"Princes Street Charging Hub, Dundee",51421,rapid,15.96,00:26:43,27/07/2021 12:38,27/07/2021 13:05,DD4 6BY
2003022,Craigowen Road,53318,ac,11.359,20:00:00,27/07/2021 11:44,28/07/2021 07:44,DD2 4NL
2003033,"Princes Street Charging Hub, Dundee",APT51422,rapid,20.1,00:35:14,27/07/2021 12:45,27/07/2021 13:21,DD4 6BY
